missions,tasks_per_mission,total_tasks,manpower,shift,location,campaign_in_weeks
7,25,175,59,3,3,5
20,11,220,74,3,2,4
15,39,585,195,3,3,5
11,29,319,107,3,2,6
8,47,376,126,3,3,4
7,37,259,87,3,3,4
19,34,646,216,3,3,4
11,41,451,151,3,2,4
11,19,209,70,3,2,4
4,51,204,68,3,2,4
8,49,392,131,3,3,4
3,42,126,42,3,2,6
2,22,44,15,3,2,4
12,50,600,200,3,2,4
6,51,306,102,3,2,4
2,56,112,38,3,2,4
1,46,46,16,3,2,4
12,25,300,100,3,3,4
12,54,648,216,3,3,4
17,31,527,176,3,2,5
10,29,290,97,3,3,5
16,59,944,315,3,3,4
15,52,780,260,3,2,5
15,36,540,180,3,2,5
19,50,950,317,3,3,4
12,25,300,100,3,2,8
20,43,860,287,3,3,6
3,41,123,41,3,3,4
5,35,175,59,3,3,4
19,34,646,216,3,2,4
7,11,77,26,3,3,4
9,21,189,63,3,2,5
7,49,343,115,3,2,4
18,18,324,108,3,2,5
4,21,84,28,3,2,5
14,35,490,164,3,2,4
18,18,324,108,3,3,4
9,19,171,57,3,2,4
2,41,82,28,3,2,4
20,43,860,287,3,2,4
15,57,855,285,3,2,4
7,29,203,68,3,2,4
12,48,576,192,3,3,6
8,11,88,30,3,2,4
15,10,150,50,3,2,4
3,60,180,60,3,3,4
14,45,630,210,3,2,5
17,33,561,187,3,3,4
4,36,144,48,3,3,4
18,11,198,66,3,3,7
8,40,320,107,3,3,4
4,23,92,31,3,2,4
2,11,22,8,3,2,4
6,38,228,76,3,3,5
10,24,240,80,3,3,4
4,21,84,28,3,2,4
18,46,828,276,3,3,4
12,37,444,148,3,3,8
2,29,58,20,3,3,4
10,48,480,160,3,2,4
4,33,132,44,3,3,7
14,30,420,140,3,2,4
16,19,304,102,3,2,8
15,55,825,275,3,2,7
8,23,184,62,3,3,6
14,46,644,215,3,3,4
8,27,216,72,3,2,4
16,33,528,176,3,2,5
13,23,299,100,3,2,8
18,43,774,258,3,3,4
15,21,315,105,3,3,5
13,31,403,135,3,2,4
9,15,135,45,3,2,4
15,45,675,225,3,3,4
13,54,702,234,3,2,5
1,45,45,15,3,3,4
7,31,217,73,3,3,4
9,23,207,69,3,2,8
1,25,25,9,3,2,4
12,45,540,180,3,3,4
8,34,272,91,3,3,4
11,41,451,151,3,3,4
19,42,798,266,3,3,4
17,54,918,306,3,3,7
8,45,360,120,3,2,4
3,29,87,29,3,3,5
3,27,81,27,3,3,4
1,47,47,16,3,3,4
5,12,60,20,3,2,4
10,32,320,107,3,2,4
7,41,287,96,3,3,4
9,54,486,162,3,3,4
7,25,175,59,3,2,4
9,14,126,42,3,2,4
8,13,104,35,3,2,4
12,30,360,120,3,2,4
2,49,98,33,3,3,7
1,60,60,20,3,2,4
16,23,368,123,3,3,4
5,48,240,80,3,3,7
3,40,120,40,3,2,5
12,23,276,92,3,2,4
8,15,120,40,3,2,4
3,21,63,21,3,2,4
1,25,25,9,3,3,4
3,26,78,26,3,3,5
5,54,270,90,3,3,5
15,32,480,160,3,2,4
14,23,322,108,3,3,8
3,16,48,16,3,2,4
1,55,55,19,3,3,4
5,41,205,69,3,2,6
14,24,336,112,3,3,4
7,53,371,124,3,3,5
9,26,234,78,3,2,8
15,50,750,250,3,3,4
15,56,840,280,3,3,4
10,53,530,177,3,2,4
13,43,559,187,3,2,4
19,14,266,89,3,2,4
7,54,378,126,3,2,4
17,36,612,204,3,2,5
20,32,640,214,3,3,4
4,49,196,66,3,2,4
5,23,115,39,3,3,4
7,24,168,56,3,3,5
13,52,676,226,3,2,4
15,42,630,210,3,3,4
11,40,440,147,3,3,5
4,44,176,59,3,2,4
13,26,338,113,3,3,4
7,37,259,87,3,2,6
19,28,532,178,3,2,4
2,55,110,37,3,2,8
